"code","common_name","sci_name","nest_guild"
"ACWO","Acorn Woodpecker","Melanerpes formicivorus","cavity_primary"
"AMGO","American Goldfinch","Spinus tristis","shrub"
"AMRO","American Robin","Turdus migratorius","tree"
"ANHU","Anna's Hummingbird","Calypte anna","shrub"
"ATFL","Ash-throated Flycatcher","Myiarchus cinerascens","cavity_secondary"
"BBWO","Black-backed Woodpecker","Picoides arcticus","cavity_primary"
"BCSP","Black-chinned Sparrow","Spizella atrogularis","shrub"
"BESP","Bell's Sparrow","Artemisiospiza belli","shrub"
"BEWR","Bewick's Wren","Thryomanes bewickii","cavity_secondary"
"BGGN","Blue-gray Gnatcatcher","Polioptila caerulea","shrub"
"BHCO","Brown-headed Cowbird","Molothrus ater","other"
"BHGR","Black-headed Grosbeak","Pheucticus melanocephalus","tree"
"BRBL","Brewer's Blackbird","Euphagus cyanocephalus","ground"
"BRCR","Brown Creeper","Certhia americana","cavity_secondary"
"BRSP","Brewer's Sparrow","Spizella breweri","shrub"
"BTPI","Band-tailed Pigeon","Patagioenas fasciata","tree"
"BTYW","Black-throated Gray Warbler","Setophaga nigrescens","tree"
"BUOR","Bullock's Oriole","Icterus bullockii","tree"
"BUSH","Bushtit","Psaltriparus minimus","shrub"
"CAFI","Cassin's Finch","Haemorhous cassinii","tree"
"CAHU","Calliope Hummingbird","Selasphorus calliope","tree"
"CALT","California Towhee","Melozone crissalis","shrub"
"CANW","Canyon Wren","Catherpes mexicanus","cavity_secondary"
"CAQU","California Quail","Callipepla californica","ground"
"CASJ","California Scrub-Jay","Aphelocoma californica","shrub"
"CAVI","Cassin's Vireo","Vireo cassinii","tree"
"CBCH","Chestnut-backed Chickadee","Poecile rufescens","cavity_secondary"
"CHSP","Chipping Sparrow","Spizella passerina","tree"
"CLNU","Clark's Nutcracker","Nucifraga columbiana","tree"
"DEJU","Dark-eyed Junco","Junco hyemalis","ground"
"DOWO","Downy Woodpecker","Picoides pubescens","cavity_primary"
"DUFL","Dusky Flycatcher","Empidonax oberholseri","shrub"
"EUST","European Starling","Sturnus vulgaris","cavity_secondary"
"EVGR","Evening Grosbeak","Coccothraustes vespertinus","tree"
"FOSP","Fox Sparrow","Passerella iliaca","shrub"
"GCKI","Golden-crowned Kinglet","Regulus satrapa","tree"
"GRFL","Gray Flycatcher","Empidonax wrightii","tree"
"GTTO","Green-tailed Towhee","Pipilo chlorurus","shrub"
"HAFL","Hammond's Flycatcher","Empidonax hammondii","tree"
"HAWO","Hairy Woodpecker","Picoides villosus","cavity_primary"
"HETH","Hermit Thrush","Catharus guttatus","ground"
"HEWA","Hermit Warbler","Setophaga occidentalis","tree"
"HOFI","House Finch","Haemorhous mexicanus","tree"
"HOWR","House Wren","Troglodytes aedon","cavity_secondary"
"HUVI","Hutton's Vireo","Vireo huttoni","tree"
"LAGO","Lawrence's Goldfinch","Spinus lawrencei","tree"
"LASP","Lark Sparrow","Chondestes grammacus","ground"
"LAZB","Lazuli Bunting","Passerina amoena","shrub"
"LEGO","Lesser Goldfinch","Spinus psaltria","tree"
"LEWO","Lewis's Woodpecker","Melanerpes lewis","cavity_primary"
"LISP","Lincoln's Sparrow","Melospiza lincolnii","ground"
"MGWA","MacGillivray's Warbler","Geothlypis tolmiei","shrub"
"MOBL","Mountain Bluebird","Sialia currucoides","cavity_secondary"
"MOCH","Mountain Chickadee","Poecile gambeli","cavity_secondary"
"MODO","Mourning Dove","Zenaida macroura","tree"
"MOUQ","Mountain Quail","Oreortyx pictus","ground"
"MWCS","Mountain White-crowned Sparrow","Zonotrichia l. oriantha","ground"
"NAWA","Nashville Warbler","Oreothlypis ruficapilla","ground"
"NOFL","Northern Flicker","Colaptes auratus","cavity_primary"
"NUWO","Nuttall's Woodpecker","Picoides nuttallii","cavity_primary"
"OATI","Oak Titmouse","Baeolophus inornatus","cavity_secondary"
"OSFL","Olive-sided Flycatcher","Contopus cooperi","tree"
"PAWR","Pacific Wren","Troglodytes pacificus","cavity_secondary"
"PIGR","Pine Grosbeak","Pinicola enucleator","tree"
"PISI","Pine Siskin","Spinus pinus","tree"
"PIWO","Pileated Woodpecker","Dryocopus pileatus","cavity_primary"
"PSFL","Pacific-slope Flycatcher","Empidonax difficilis","tree"
"PUFI","Purple Finch","Haemorhous purpureus","tree"
"PYNU","Pygmy Nuthatch","Sitta pygmaea","cavity_primary"
"RBNU","Red-breasted Nuthatch","Sitta canadensis","cavity_primary"
"RBSA","Red-breasted Sapsucker","Sphyrapicus ruber","cavity_primary"
"RCSP","Rufous-crowned Sparrow","Aimophila ruficeps","ground"
"RECR","Red Crossbill","Loxia curvirostra","tree"
"ROWR","Rock Wren","Salpinctes obsoletus","ground"
"RWBL","Red-winged Blackbird","Agelaius phoeniceus","ground"
"SOGR","Sooty Grouse","Dendragapus fuliginosus","ground"
"SOSP","Song Sparrow","Melospiza melodia","shrub"
"SPTO","Spotted Towhee","Pipilo maculatus","ground"
"STJA","Steller's Jay","Cyanocitta stelleri","tree"
"TOSO","Townsend's Solitaire","Myadestes townsendi","ground"
"VASW","Vaux's Swift","Chaetura vauxi","tree"
"VESP","Vesper Sparrow","Pooecetes gramineus","ground"
"WAVI","Warbling Vireo","Vireo gilvus","tree"
"WBNU","White-breasted Nuthatch","Sitta carolinensis","cavity_secondary"
"WEBL","Western Bluebird","Sialia mexicana","cavity_secondary"
"WETA","Western Tanager","Piranga ludoviciana","tree"
"WEWP","Western Wood-Pewee","Contopus sordidulus","tree"
"WHWO","White-headed Woodpecker","Picoides albolarvatus","cavity_primary"
"WISA","Williamson's Sapsucker","Sphyrapicus thyroideus","cavity_primary"
"WIWA","Wilson's Warbler","Cardellina pusilla","ground"
"WREN","Wrentit","Chamaea fasciata","shrub"
"YBCH","Yellow-breasted Chat","Icteria virens","shrub"
"YEWA","Yellow Warbler","Setophaga petechia","shrub"
"YRWA","Yellow-rumped Warbler","Setophaga coronata","tree"
